mode,case,sample,loops,microseconds
C,constant,0,40,64196
C_native,constant,0,40,64552
A_all,constant,0,40,47893
A_guard,constant,0,40,49734
B_naive,constant,0,40,16990
B_guard,constant,0,40,17999
C,getter,0,8,56418
C_native,getter,0,8,55254
A_all,getter,0,8,52567
A_guard,getter,0,8,52427
B_naive,getter,0,8,49327
B_guard,getter,0,8,47946
C,arithmetic,0,8,62113
C_native,arithmetic,0,8,62860
A_all,arithmetic,0,8,58018
A_guard,arithmetic,0,8,57039
B_naive,arithmetic,0,8,53943
B_guard,arithmetic,0,8,53443
C,nested,0,15,72759
C_native,nested,0,15,73800
A_all,nested,0,15,56413
A_guard,nested,0,15,66196
B_naive,nested,0,15,57506
B_guard,nested,0,15,52774
C,class_map,0,1,85026
C_native,class_map,0,1,85105
A_all,class_map,0,1,76247
A_guard,class_map,0,1,80366
B_naive,class_map,0,1,77595
B_guard,class_map,0,1,70387
C,block_map,0,1,298867
C_native,block_map,0,1,305461
A_all,block_map,0,1,289375
A_guard,block_map,0,1,393924
B_naive,block_map,0,1,421103
B_guard,block_map,0,1,305814
C,browser,0,1,148321
C_native,browser,0,1,162851
A_all,browser,0,1,172011
A_guard,browser,0,1,147504
B_naive,browser,0,1,147570
B_guard,browser,0,1,149396
C_native,constant,1,40,63872
A_all,constant,1,40,48812
A_guard,constant,1,40,50295
B_naive,constant,1,40,17178
B_guard,constant,1,40,16720
C,constant,1,40,61552
C_native,getter,1,8,52577
A_all,getter,1,8,54199
A_guard,getter,1,8,52524
B_naive,getter,1,8,50414
B_guard,getter,1,8,50032
C,getter,1,8,56570
C_native,arithmetic,1,8,63973
A_all,arithmetic,1,8,59878
A_guard,arithmetic,1,8,59082
B_naive,arithmetic,1,8,55973
B_guard,arithmetic,1,8,58037
C,arithmetic,1,8,62458
C_native,nested,1,15,73387
A_all,nested,1,15,56890
A_guard,nested,1,15,64474
B_naive,nested,1,15,56140
B_guard,nested,1,15,52792
C,nested,1,15,74876
C_native,class_map,1,1,95184
A_all,class_map,1,1,80092
A_guard,class_map,1,1,81593
B_naive,class_map,1,1,81762
B_guard,class_map,1,1,75201
C,class_map,1,1,109114
C_native,block_map,1,1,323854
A_all,block_map,1,1,300888
A_guard,block_map,1,1,306042
B_naive,block_map,1,1,430497
B_guard,block_map,1,1,291649
C,block_map,1,1,295028
C_native,browser,1,1,147472
A_all,browser,1,1,147554
A_guard,browser,1,1,141469
B_naive,browser,1,1,155057
B_guard,browser,1,1,147235
C,browser,1,1,146390
A_all,constant,2,40,49344
A_guard,constant,2,40,55704
B_naive,constant,2,40,17903
B_guard,constant,2,40,17544
C,constant,2,40,61433
C_native,constant,2,40,64060
A_all,getter,2,8,51942
A_guard,getter,2,8,52277
B_naive,getter,2,8,46357
B_guard,getter,2,8,45918
C,getter,2,8,52526
C_native,getter,2,8,53199
A_all,arithmetic,2,8,63797
A_guard,arithmetic,2,8,56439
B_naive,arithmetic,2,8,50936
B_guard,arithmetic,2,8,58143
C,arithmetic,2,8,69061
C_native,arithmetic,2,8,62965
A_all,nested,2,15,54932
A_guard,nested,2,15,63081
B_naive,nested,2,15,60205
B_guard,nested,2,15,51982
C,nested,2,15,75328
C_native,nested,2,15,72700
A_all,class_map,2,1,95092
A_guard,class_map,2,1,81285
B_naive,class_map,2,1,77216
B_guard,class_map,2,1,69486
C,class_map,2,1,86715
C_native,class_map,2,1,84039
A_all,block_map,2,1,285973
A_guard,block_map,2,1,306495
B_naive,block_map,2,1,400243
B_guard,block_map,2,1,330663
C,block_map,2,1,326150
C_native,block_map,2,1,289122
A_all,browser,2,1,154444
A_guard,browser,2,1,142883
B_naive,browser,2,1,145408
B_guard,browser,2,1,145677
C,browser,2,1,198267
C_native,browser,2,1,199235
A_guard,constant,3,40,81868
B_naive,constant,3,40,21657
B_guard,constant,3,40,22185
C,constant,3,40,93660
C_native,constant,3,40,69408
A_all,constant,3,40,54102
A_guard,getter,3,8,75282
B_naive,getter,3,8,64936
B_guard,getter,3,8,48504
C,getter,3,8,71228
C_native,getter,3,8,59350
A_all,getter,3,8,61687
A_guard,arithmetic,3,8,62818
B_naive,arithmetic,3,8,56806
B_guard,arithmetic,3,8,67546
C,arithmetic,3,8,77402
C_native,arithmetic,3,8,74513
A_all,arithmetic,3,8,61867
A_guard,nested,3,15,140770
B_naive,nested,3,15,70508
B_guard,nested,3,15,70529
C,nested,3,15,95439
