mode,case,round,loops,microseconds
off,constant,0,24,63227
on,constant,0,24,46083
off,nested,0,12,86691
on,nested,0,12,81572
off,numeric,0,24,58405
on,numeric,0,24,49308
off,getter,0,8,94875
on,getter,0,8,106379
off,class_map,0,3,490913
on,class_map,0,3,373624
off,block_map,0,3,1115450
on,block_map,0,3,2376746
off,browser,0,1,427151
on,browser,0,1,339811
on,constant,1,24,41428
off,constant,1,24,47719
on,nested,1,12,67784
off,nested,1,12,68970
on,numeric,1,24,43719
off,numeric,1,24,55235
on,getter,1,8,77358
off,getter,1,8,67975
on,class_map,1,3,336731
off,class_map,1,3,494983
on,block_map,1,3,1362519
off,block_map,1,3,1162115
on,browser,1,1,188170
off,browser,1,1,220068
off,constant,2,24,58984
on,constant,2,24,81387
off,nested,2,12,90398
on,nested,2,12,80656
off,numeric,2,24,75927
on,numeric,2,24,66797
off,getter,2,8,99868
on,getter,2,8,97539
off,class_map,2,3,453259
on,class_map,2,3,481453
off,block_map,2,3,1658606
on,block_map,2,3,1237647
off,browser,2,1,181344
on,browser,2,1,179167
on,constant,3,24,34951
off,constant,3,24,48823
on,nested,3,12,64961
off,nested,3,12,67575
on,numeric,3,24,40051
off,numeric,3,24,50274
on,getter,3,8,74200
off,getter,3,8,63817
on,class_map,3,3,300015
off,class_map,3,3,310597
on,block_map,3,3,1138281
off,block_map,3,3,1507892
on,browser,3,1,665934
off,browser,3,1,705071
off,constant,4,24,301422
on,constant,4,24,158237
off,nested,4,12,457644
on,nested,4,12,316301
off,numeric,4,24,291523
on,numeric,4,24,129993
off,getter,4,8,253386
on,getter,4,8,309068
off,class_map,4,3,1546639
on,class_map,4,3,627601
off,block_map,4,3,2106453
on,block_map,4,3,1841260
off,browser,4,1,415913
on,browser,4,1,264681
on,constant,5,24,50960
off,constant,5,24,49639
on,nested,5,12,85802
off,nested,5,12,137202
on,numeric,5,24,95311
off,numeric,5,24,100105
on,getter,5,8,90801
off,getter,5,8,133091
on,class_map,5,3,429616
off,class_map,5,3,514314
on,block_map,5,3,2590943
off,block_map,5,3,3862616
on,browser,5,1,385177
off,browser,5,1,1354976
off,constant,6,24,247035
on,constant,6,24,175715
off,nested,6,12,295593
on,nested,6,12,207517
off,numeric,6,24,127049
on,numeric,6,24,82712
off,getter,6,8,132050
on,getter,6,8,111359
off,class_map,6,3,790403
on,class_map,6,3,645449
off,block_map,6,3,1898291
on,block_map,6,3,1383499
off,browser,6,1,198741
