mode,case,round,loops,microseconds
on,browser,6,1,293900
on,constant,7,24,65443
off,constant,7,24,55618
on,nested,7,12,85504
off,nested,7,12,129443
on,numeric,7,24,69127
off,numeric,7,24,87153
on,getter,7,8,110261
off,getter,7,8,90218
on,class_map,7,3,472385
off,class_map,7,3,822926
on,block_map,7,3,3114256
off,block_map,7,3,2377434
on,browser,7,1,225203
off,browser,7,1,176529
off,constant,8,24,43362
on,constant,8,24,41664
off,nested,8,12,73123
on,nested,8,12,66081
off,numeric,8,24,42015
on,numeric,8,24,42121
off,getter,8,8,66910
on,getter,8,8,66034
off,class_map,8,3,730496
on,class_map,8,3,332471
off,block_map,8,3,1114209
on,block_map,8,3,1952848
off,browser,8,1,314621
on,browser,8,1,317315
on,constant,9,24,67854
off,constant,9,24,79010
on,nested,9,12,121970
off,nested,9,12,129787
on,numeric,9,24,65627
off,numeric,9,24,87252
on,getter,9,8,182898
off,getter,9,8,135476
on,class_map,9,3,408962
off,class_map,9,3,462013
on,block_map,9,3,1241817
off,block_map,9,3,2069008
on,browser,9,1,532025
off,browser,9,1,504026
off,constant,10,24,112522
on,constant,10,24,80250
off,nested,10,12,180121
on,nested,10,12,176270
off,numeric,10,24,102644
on,numeric,10,24,58175
off,getter,10,8,114717
on,getter,10,8,146909
off,class_map,10,3,512170
on,class_map,10,3,544479
off,block_map,10,3,1424685
on,block_map,10,3,1374201
off,browser,10,1,281128
on,browser,10,1,360899
on,constant,11,24,87779
off,constant,11,24,84182
on,nested,11,12,99498
off,nested,11,12,87378
on,numeric,11,24,62651
off,numeric,11,24,59526
on,getter,11,8,91297
off,getter,11,8,129023
on,class_map,11,3,861765
off,class_map,11,3,699234
on,block_map,11,3,1754819
off,block_map,11,3,1646244
on,browser,11,1,256007
off,browser,11,1,247192
off,constant,12,24,79489
on,constant,12,24,52618
off,nested,12,12,115522
on,nested,12,12,103859
off,numeric,12,24,87380
on,numeric,12,24,60649
off,getter,12,8,102481
on,getter,12,8,155867
off,class_map,12,3,444306
on,class_map,12,3,510788
off,block_map,12,3,1531976
on,block_map,12,3,2071730
off,browser,12,1,300961
on,browser,12,1,449388
on,constant,13,24,121903
off,constant,13,24,118167
on,nested,13,12,133260
off,nested,13,12,163695
on,numeric,13,24,108024
off,numeric,13,24,143903
on,getter,13,8,164619
off,getter,13,8,157520
on,class_map,13,3,479527
off,class_map,13,3,420211
on,block_map,13,3,1436615
off,block_map,13,3,1707148
on,browser,13,1,429781
off,browser,13,1,310802
off,constant,14,24,58929
on,constant,14,24,43471
off,nested,14,12,95298
on,nested,14,12,109560
off,numeric,14,24,67415
on,numeric,14,24,64009
off,getter,14,8,132015
on,getter,14,8,219847
off,class_map,14,3,805240
on,class_map,14,3,563206
off,block_map,14,3,2637709
on,block_map,14,3,2602041
off,browser,14,1,244990
on,browser,14,1,238469
on,constant,15,24,47447
off,constant,15,24,51417
on,nested,15,12,102479
off,nested,15,12,164135
on,numeric,15,24,99873
off,numeric,15,24,167099
on,getter,15,8,129727
off,getter,15,8,130625
on,class_map,15,3,929709
off,class_map,15,3,1022599
on,block_map,15,3,1522332
off,block_map,15,3,2443094
on,browser,15,1,313917
off,browser,15,1,381838
off,constant,16,24,71784
on,constant,16,24,62974
off,nested,16,12,146743
on,nested,16,12,108218
off,numeric,16,24,61014
on,numeric,16,24,54386
off,getter,16,8,106036
on,getter,16,8,194481
off,class_map,16,3,675968
on,class_map,16,3,511514
off,block_map,16,3,1663843
on,block_map,16,3,1611287
off,browser,16,1,201889
on,browser,16,1,296650
on,constant,17,24,56483
off,constant,17,24,57048
on,nested,17,12,88899
off,nested,17,12,110985
on,numeric,17,24,56464
off,numeric,17,24,80670
on,getter,17,8,102503
off,getter,17,8,83848
on,class_map,17,3,417492
off,class_map,17,3,577841
on,block_map,17,3,1660069
off,block_map,17,3,1297474
on,browser,17,1,214874
off,browser,17,1,304115
off,constant,18,24,49835
on,constant,18,24,37881
off,nested,18,12,65753
on,nested,18,12,74304
off,numeric,18,24,75318
on,numeric,18,24,53234
off,getter,18,8,115957
on,getter,18,8,92665
off,class_map,18,3,374559
on,class_map,18,3,371878
off,block_map,18,3,1189088
on,block_map,18,3,1263728
off,browser,18,1,230631
on,browser,18,1,204555
on,constant,19,24,44320
off,constant,19,24,60209
on,nested,19,12,83332
off,nested,19,12,84445
on,numeric,19,24,58344
off,numeric,19,24,62500
on,getter,19,8,76782
off,getter,19,8,105422
on,class_map,19,3,506445
off,class_map,19,3,397296
on,block_map,19,3,1764169
off,block_map,19,3,2398603
on,browser,19,1,235864
off,browser,19,1,194497
off,constant,20,24,43371
on,constant,20,24,37533
off,nested,20,12,69946
on,nested,20,12,64410
off,numeric,20,24,47606
on,numeric,20,24,46847
off,getter,20,8,80869
on,getter,20,8,68228
off,class_map,20,3,366237
on,class_map,20,3,355830
off,block_map,20,3,1994516
on,block_map,20,3,1332014
off,browser,20,1,199083
on,browser,20,1,228175
on,constant,21,24,36712
off,constant,21,24,42103
on,nested,21,12,63730
off,nested,21,12,65940
on,numeric,21,24,42804
off,numeric,21,24,45741
on,getter,21,8,71128
off,getter,21,8,68820
on,class_map,21,3,335704
off,class_map,21,3,440744
on,block_map,21,3,1484254
off,block_map,21,3,1744882
on,browser,21,1,212451
off,browser,21,1,195156
off,constant,22,24,52525
on,constant,22,24,43834
off,nested,22,12,61709
on,nested,22,12,64226
off,numeric,22,24,49970
on,numeric,22,24,43018
off,getter,22,8,82038
on,getter,22,8,153829
off,class_map,22,3,549257
on,class_map,22,3,417179
off,block_map,22,3,1709119
on,block_map,22,3,1733503
off,browser,22,1,256790
on,browser,22,1,526897
on,constant,23,24,80715
off,constant,23,24,94197
on,nested,23,12,238569
off,nested,23,12,171561
on,numeric,23,24,99942
off,numeric,23,24,73458
on,getter,23,8,146108
off,getter,23,8,157085
on,class_map,23,3,558318
off,class_map,23,3,734315
on,block_map,23,3,1855168
off,block_map,23,3,2065890
on,browser,23,1,679377
off,browser,23,1,375533
