mode,case,sample,loops,microseconds
B_naive,nested,4,15,77175
B_guard,nested,4,15,102042
C,nested,4,15,131801
C_native,nested,4,15,104370
A_all,nested,4,15,83880
A_guard,nested,4,15,94278
B_naive,class_map,4,1,116085
B_guard,class_map,4,1,130793
C,class_map,4,1,239472
C_native,class_map,4,1,205418
A_all,class_map,4,1,200781
A_guard,class_map,4,1,178542
B_naive,block_map,4,1,702896
B_guard,block_map,4,1,358521
C,block_map,4,1,458489
C_native,block_map,4,1,439401
A_all,block_map,4,1,354442
A_guard,block_map,4,1,336902
B_naive,browser,4,1,190597
B_guard,browser,4,1,159166
C,browser,4,1,150575
C_native,browser,4,1,148711
A_all,browser,4,1,212810
A_guard,browser,4,1,200180
B_guard,constant,5,40,19913
C,constant,5,40,80908
C_native,constant,5,40,65817
A_all,constant,5,40,62466
A_guard,constant,5,40,57170
B_naive,constant,5,40,17373
B_guard,getter,5,8,54285
C,getter,5,8,53370
C_native,getter,5,8,54186
A_all,getter,5,8,51783
A_guard,getter,5,8,51442
B_naive,getter,5,8,44667
B_guard,arithmetic,5,8,53984
C,arithmetic,5,8,64764
C_native,arithmetic,5,8,79698
A_all,arithmetic,5,8,58532
A_guard,arithmetic,5,8,66553
B_naive,arithmetic,5,8,74538
B_guard,nested,5,15,56747
C,nested,5,15,100863
C_native,nested,5,15,72297
A_all,nested,5,15,56053
A_guard,nested,5,15,66534
B_naive,nested,5,15,56317
B_guard,class_map,5,1,91046
C,class_map,5,1,97034
C_native,class_map,5,1,94545
A_all,class_map,5,1,102185
A_guard,class_map,5,1,90408
B_naive,class_map,5,1,86658
B_guard,block_map,5,1,325855
C,block_map,5,1,314900
C_native,block_map,5,1,279156
A_all,block_map,5,1,274827
A_guard,block_map,5,1,280230
B_naive,block_map,5,1,397039
B_guard,browser,5,1,141339
C,browser,5,1,142264
C_native,browser,5,1,141188
A_all,browser,5,1,137427
A_guard,browser,5,1,138621
B_naive,browser,5,1,144309
C,constant,6,40,58899
C_native,constant,6,40,60489
A_all,constant,6,40,45771
A_guard,constant,6,40,48770
B_naive,constant,6,40,17391
B_guard,constant,6,40,16923
C,getter,6,8,51212
C_native,getter,6,8,51830
A_all,getter,6,8,48157
A_guard,getter,6,8,47709
B_naive,getter,6,8,43787
B_guard,getter,6,8,43130
C,arithmetic,6,8,57777
C_native,arithmetic,6,8,57444
A_all,arithmetic,6,8,56545
A_guard,arithmetic,6,8,54773
B_naive,arithmetic,6,8,50586
B_guard,arithmetic,6,8,50497
C,nested,6,15,69644
C_native,nested,6,15,70929
A_all,nested,6,15,54963
A_guard,nested,6,15,62363
B_naive,nested,6,15,55357
B_guard,nested,6,15,51714
C,class_map,6,1,85060
C_native,class_map,6,1,84366
A_all,class_map,6,1,74331
A_guard,class_map,6,1,77119
B_naive,class_map,6,1,74912
B_guard,class_map,6,1,69609
C,block_map,6,1,278222
C_native,block_map,6,1,370906
A_all,block_map,6,1,389045
A_guard,block_map,6,1,404642
B_naive,block_map,6,1,430154
B_guard,block_map,6,1,361106
C,browser,6,1,157498
C_native,browser,6,1,145417
A_all,browser,6,1,144816
A_guard,browser,6,1,142116
B_naive,browser,6,1,155697
B_guard,browser,6,1,148005
C_native,constant,7,40,61006
A_all,constant,7,40,46409
A_guard,constant,7,40,47422
B_naive,constant,7,40,16958
B_guard,constant,7,40,17038
C,constant,7,40,59961
C_native,getter,7,8,51549
A_all,getter,7,8,48673
A_guard,getter,7,8,49933
B_naive,getter,7,8,43764
B_guard,getter,7,8,43855
C,getter,7,8,51694
C_native,arithmetic,7,8,58764
A_all,arithmetic,7,8,64398
A_guard,arithmetic,7,8,56081
B_naive,arithmetic,7,8,49903
B_guard,arithmetic,7,8,51854
C,arithmetic,7,8,57725
