mode,case,sample,loops,microseconds
A_guard,getter,22,8,49370
B_naive,arithmetic,22,8,53191
B_guard,arithmetic,22,8,59216
C,arithmetic,22,8,67529
C_native,arithmetic,22,8,58385
A_all,arithmetic,22,8,55197
A_guard,arithmetic,22,8,54721
B_naive,nested,22,15,55271
B_guard,nested,22,15,50998
C,nested,22,15,70231
C_native,nested,22,15,69310
A_all,nested,22,15,53180
A_guard,nested,22,15,61115
B_naive,class_map,22,1,83248
B_guard,class_map,22,1,69032
C,class_map,22,1,86395
C_native,class_map,22,1,85431
A_all,class_map,22,1,79746
A_guard,class_map,22,1,77021
B_naive,block_map,22,1,420816
B_guard,block_map,22,1,373433
C,block_map,22,1,480358
C_native,block_map,22,1,315107
A_all,block_map,22,1,330109
A_guard,block_map,22,1,352773
B_naive,browser,22,1,192498
B_guard,browser,22,1,156793
C,browser,22,1,145143
C_native,browser,22,1,150343
A_all,browser,22,1,141439
A_guard,browser,22,1,138117
B_guard,constant,23,40,16897
C,constant,23,40,68242
C_native,constant,23,40,61641
A_all,constant,23,40,50658
A_guard,constant,23,40,49281
B_naive,constant,23,40,17419
B_guard,getter,23,8,44781
C,getter,23,8,58311
C_native,getter,23,8,53441
A_all,getter,23,8,49077
A_guard,getter,23,8,55916
B_naive,getter,23,8,44011
B_guard,arithmetic,23,8,52699
C,arithmetic,23,8,58539
C_native,arithmetic,23,8,57684
A_all,arithmetic,23,8,59304
A_guard,arithmetic,23,8,62611
B_naive,arithmetic,23,8,50669
B_guard,nested,23,15,51532
C,nested,23,15,69976
C_native,nested,23,15,68783
A_all,nested,23,15,53797
A_guard,nested,23,15,60929
B_naive,nested,23,15,58671
B_guard,class_map,23,1,74104
C,class_map,23,1,90251
C_native,class_map,23,1,84517
A_all,class_map,23,1,83331
A_guard,class_map,23,1,80042
B_naive,class_map,23,1,74949
B_guard,block_map,23,1,302573
C,block_map,23,1,300301
C_native,block_map,23,1,293058
A_all,block_map,23,1,286705
A_guard,block_map,23,1,286805
B_naive,block_map,23,1,433162
B_guard,browser,23,1,145192
C,browser,23,1,147587
C_native,browser,23,1,140009
A_all,browser,23,1,139182
A_guard,browser,23,1,137192
B_naive,browser,23,1,150638
