mode,case,round,loops,microseconds
off,block_map,15,3,1724432
on,browser,15,1,262252
off,browser,15,1,242496
off,constant,16,24,53336
on,constant,16,24,70470
off,nested,16,12,83667
on,nested,16,12,74448
off,numeric,16,24,59880
on,numeric,16,24,49317
off,getter,16,8,85190
on,getter,16,8,86004
off,class_map,16,3,377636
on,class_map,16,3,341389
off,block_map,16,3,1340897
on,block_map,16,3,1608500
off,browser,16,1,229401
on,browser,16,1,276538
on,constant,17,24,49446
off,constant,17,24,68527
on,nested,17,12,72514
off,nested,17,12,109369
on,numeric,17,24,61922
off,numeric,17,24,67863
on,getter,17,8,92652
off,getter,17,8,99923
on,class_map,17,3,373975
off,class_map,17,3,422277
on,block_map,17,3,1391016
off,block_map,17,3,1544855
on,browser,17,1,208766
off,browser,17,1,207637
off,constant,18,24,54607
on,constant,18,24,41383
off,nested,18,12,82008
on,nested,18,12,79058
off,numeric,18,24,77042
on,numeric,18,24,57338
off,getter,18,8,88311
on,getter,18,8,91061
off,class_map,18,3,330789
on,class_map,18,3,476538
off,block_map,18,3,2417566
on,block_map,18,3,1745890
off,browser,18,1,264721
on,browser,18,1,343533
on,constant,19,24,46100
off,constant,19,24,60308
on,nested,19,12,86057
off,nested,19,12,108833
on,numeric,19,24,67833
off,numeric,19,24,67607
on,getter,19,8,80099
off,getter,19,8,90485
on,class_map,19,3,410333
off,class_map,19,3,401937
on,block_map,19,3,1263140
off,block_map,19,3,1146604
on,browser,19,1,222561
off,browser,19,1,183053
off,constant,20,24,48454
on,constant,20,24,38293
off,nested,20,12,81805
on,nested,20,12,77977
off,numeric,20,24,47355
on,numeric,20,24,58784
off,getter,20,8,77266
on,getter,20,8,86324
off,class_map,20,3,350311
on,class_map,20,3,311864
off,block_map,20,3,1390200
on,block_map,20,3,1191058
off,browser,20,1,196432
on,browser,20,1,213740
on,constant,21,24,41735
off,constant,21,24,46653
on,nested,21,12,62691
off,nested,21,12,71398
on,numeric,21,24,44487
off,numeric,21,24,55031
on,getter,21,8,65984
off,getter,21,8,58116
on,class_map,21,3,541624
off,class_map,21,3,553203
on,block_map,21,3,1254684
off,block_map,21,3,1419697
on,browser,21,1,325863
off,browser,21,1,308978
off,constant,22,24,70298
on,constant,22,24,61933
off,nested,22,12,87876
on,nested,22,12,82950
off,numeric,22,24,70942
on,numeric,22,24,73237
off,getter,22,8,87306
on,getter,22,8,91006
off,class_map,22,3,419604
on,class_map,22,3,358867
off,block_map,22,3,1671233
on,block_map,22,3,1557742
off,browser,22,1,340762
on,browser,22,1,330141
on,constant,23,24,52243
