mode,case,round,loops,microseconds
on,getter,9,8,121565
off,getter,9,8,146016
on,class_map,9,3,582781
off,class_map,9,3,468423
on,block_map,9,3,1566586
off,block_map,9,3,1325343
on,browser,9,1,217258
off,browser,9,1,227516
off,constant,10,24,62786
on,constant,10,24,49193
off,nested,10,12,151072
on,nested,10,12,187052
off,numeric,10,24,118865
on,numeric,10,24,71045
off,getter,10,8,120209
on,getter,10,8,114847
off,class_map,10,3,638892
on,class_map,10,3,446083
off,block_map,10,3,2371706
on,block_map,10,3,1642965
off,browser,10,1,299239
on,browser,10,1,351593
on,constant,11,24,49768
off,constant,11,24,52210
on,nested,11,12,79570
off,nested,11,12,80463
on,numeric,11,24,40581
off,numeric,11,24,51037
on,getter,11,8,105383
off,getter,11,8,116866
on,class_map,11,3,380860
off,class_map,11,3,402646
on,block_map,11,3,1837960
off,block_map,11,3,1345515
on,browser,11,1,219719
off,browser,11,1,221827
off,constant,12,24,51607
on,constant,12,24,45898
off,nested,12,12,83604
on,nested,12,12,80457
off,numeric,12,24,61033
on,numeric,12,24,43343
off,getter,12,8,65183
on,getter,12,8,67071
off,class_map,12,3,351735
on,class_map,12,3,355060
off,block_map,12,3,1427172
on,block_map,12,3,1118712
off,browser,12,1,156702
on,browser,12,1,166934
on,constant,13,24,41711
off,constant,13,24,44658
on,nested,13,12,61118
off,nested,13,12,71022
on,numeric,13,24,42311
off,numeric,13,24,40780
on,getter,13,8,60364
off,getter,13,8,56255
on,class_map,13,3,327356
off,class_map,13,3,271272
on,block_map,13,3,1342265
off,block_map,13,3,1313885
on,browser,13,1,231812
off,browser,13,1,248966
off,constant,14,24,71195
on,constant,14,24,45930
off,nested,14,12,71123
on,nested,14,12,76805
off,numeric,14,24,55470
on,numeric,14,24,50838
off,getter,14,8,77265
on,getter,14,8,63910
off,class_map,14,3,405501
on,class_map,14,3,427519
off,block_map,14,3,1345312
on,block_map,14,3,1418965
off,browser,14,1,206299
on,browser,14,1,223886
on,constant,15,24,53652
off,constant,15,24,94746
on,nested,15,12,119370
off,nested,15,12,95529
on,numeric,15,24,54835
off,numeric,15,24,58089
on,getter,15,8,75503
off,getter,15,8,75965
on,class_map,15,3,338729
off,class_map,15,3,360858
on,block_map,15,3,1898133
off,block_map,15,3,1410655
on,browser,15,1,205073
off,browser,15,1,227890
off,constant,16,24,61356
on,constant,16,24,46346
off,nested,16,12,83689
on,nested,16,12,73972
off,numeric,16,24,71557
on,numeric,16,24,47845
off,getter,16,8,96684
on,getter,16,8,85192
off,class_map,16,3,512550
on,class_map,16,3,623648
off,block_map,16,3,2250752
on,block_map,16,3,2598123
off,browser,16,1,281285
on,browser,16,1,264775
on,constant,17,24,49478
off,constant,17,24,67794
on,nested,17,12,103102
off,nested,17,12,88607
on,numeric,17,24,59196
off,numeric,17,24,62272
on,getter,17,8,92350
off,getter,17,8,110490
on,class_map,17,3,437924
off,class_map,17,3,444810
on,block_map,17,3,1556766
off,block_map,17,3,1116790
on,browser,17,1,195512
off,browser,17,1,182071
off,constant,18,24,52269
on,constant,18,24,40692
off,nested,18,12,69482
on,nested,18,12,70435
off,numeric,18,24,46453
on,numeric,18,24,39129
off,getter,18,8,57583
on,getter,18,8,75775
off,class_map,18,3,304514
on,class_map,18,3,324267
off,block_map,18,3,1102919
on,block_map,18,3,1254303
off,browser,18,1,166333
on,browser,18,1,192741
on,constant,19,24,34534
off,constant,19,24,43330
on,nested,19,12,70726
off,nested,19,12,74606
on,numeric,19,24,42900
off,numeric,19,24,61314
on,getter,19,8,81442
off,getter,19,8,77990
on,class_map,19,3,304011
off,class_map,19,3,343156
on,block_map,19,3,1090119
off,block_map,19,3,1090723
on,browser,19,1,230722
off,browser,19,1,199066
off,constant,20,24,48953
on,constant,20,24,37850
off,nested,20,12,86305
on,nested,20,12,57864
off,numeric,20,24,44262
on,numeric,20,24,46525
off,getter,20,8,81533
on,getter,20,8,65403
off,class_map,20,3,384261
on,class_map,20,3,476771
off,block_map,20,3,1262492
on,block_map,20,3,1348185
off,browser,20,1,261348
on,browser,20,1,300256
on,constant,21,24,90022
off,constant,21,24,114461
on,nested,21,12,133394
off,nested,21,12,114409
on,numeric,21,24,60388
off,numeric,21,24,74814
on,getter,21,8,114734
off,getter,21,8,98394
on,class_map,21,3,467373
off,class_map,21,3,695320
on,block_map,21,3,1457520
off,block_map,21,3,1631316
on,browser,21,1,432125
off,browser,21,1,399127
off,constant,22,24,120233
on,constant,22,24,84793
off,nested,22,12,137718
on,nested,22,12,132429
off,numeric,22,24,83486
on,numeric,22,24,83673
off,getter,22,8,90934
on,getter,22,8,95624
off,class_map,22,3,384183
on,class_map,22,3,455590
off,block_map,22,3,2184651
on,block_map,22,3,2103529
off,browser,22,1,490750
on,browser,22,1,516078
on,constant,23,24,118871
off,constant,23,24,149070
on,nested,23,12,237870
off,nested,23,12,260199
on,numeric,23,24,154691
off,numeric,23,24,82082
on,getter,23,8,213446
off,getter,23,8,251827
on,class_map,23,3,592652
off,class_map,23,3,741913
on,block_map,23,3,2213982
off,block_map,23,3,2319168
on,browser,23,1,521040
off,browser,23,1,430513
