mode,case,round,loops,microseconds
off,constant,0,24,48332
on,constant,0,24,38825
off,nested,0,12,71781
on,nested,0,12,68659
off,numeric,0,24,67125
on,numeric,0,24,49785
off,getter,0,8,66422
on,getter,0,8,71378
off,class_map,0,3,475207
on,class_map,0,3,387939
off,block_map,0,3,1327400
on,block_map,0,3,1230758
off,browser,0,1,228881
on,browser,0,1,303124
on,constant,1,24,45151
off,constant,1,24,58810
on,nested,1,12,78045
off,nested,1,12,79964
on,numeric,1,24,54840
off,numeric,1,24,61194
on,getter,1,8,79100
off,getter,1,8,72700
on,class_map,1,3,340536
off,class_map,1,3,413482
on,block_map,1,3,1570411
off,block_map,1,3,1581447
on,browser,1,1,234632
off,browser,1,1,234704
off,constant,2,24,62934
on,constant,2,24,50562
off,nested,2,12,84939
on,nested,2,12,115992
off,numeric,2,24,96937
on,numeric,2,24,72069
off,getter,2,8,86603
on,getter,2,8,95266
off,class_map,2,3,475996
on,class_map,2,3,350272
off,block_map,2,3,1288682
on,block_map,2,3,1227900
off,browser,2,1,242714
on,browser,2,1,276856
on,constant,3,24,49317
off,constant,3,24,67766
on,nested,3,12,87750
off,nested,3,12,81411
on,numeric,3,24,51904
off,numeric,3,24,112589
on,getter,3,8,140702
off,getter,3,8,112062
on,class_map,3,3,478440
off,class_map,3,3,381563
on,block_map,3,3,1120758
off,block_map,3,3,1348529
on,browser,3,1,188891
off,browser,3,1,173495
off,constant,4,24,46927
on,constant,4,24,42372
off,nested,4,12,75332
on,nested,4,12,72101
off,numeric,4,24,49633
on,numeric,4,24,48734
off,getter,4,8,78224
on,getter,4,8,70902
off,class_map,4,3,358799
on,class_map,4,3,308479
off,block_map,4,3,1306773
on,block_map,4,3,1408940
off,browser,4,1,385260
on,browser,4,1,423860
on,constant,5,24,83228
off,constant,5,24,168295
on,nested,5,12,144562
off,nested,5,12,260721
on,numeric,5,24,85884
off,numeric,5,24,163084
on,getter,5,8,254895
off,getter,5,8,181803
on,class_map,5,3,588698
off,class_map,5,3,896488
on,block_map,5,3,1873414
off,block_map,5,3,1688711
on,browser,5,1,302610
off,browser,5,1,255007
off,constant,6,24,50073
on,constant,6,24,50316
off,nested,6,12,75142
on,nested,6,12,74842
off,numeric,6,24,51672
on,numeric,6,24,75098
off,getter,6,8,85234
on,getter,6,8,68583
off,class_map,6,3,360574
on,class_map,6,3,377778
off,block_map,6,3,1364614
on,block_map,6,3,1639912
off,browser,6,1,261126
on,browser,6,1,305695
on,constant,7,24,50396
off,constant,7,24,85424
on,nested,7,12,88069
off,nested,7,12,85119
on,numeric,7,24,64066
off,numeric,7,24,93173
on,getter,7,8,129176
off,getter,7,8,104771
on,class_map,7,3,463573
off,class_map,7,3,393722
on,block_map,7,3,1520119
off,block_map,7,3,1494348
on,browser,7,1,300650
off,browser,7,1,305558
off,constant,8,24,54345
on,constant,8,24,46062
off,nested,8,12,77406
on,nested,8,12,67697
off,numeric,8,24,45209
on,numeric,8,24,46362
off,getter,8,8,69347
on,getter,8,8,68334
off,class_map,8,3,361244
on,class_map,8,3,328103
off,block_map,8,3,1154892
on,block_map,8,3,1494093
off,browser,8,1,196639
on,browser,8,1,212867
on,constant,9,24,107328
off,constant,9,24,136694
on,nested,9,12,93574
off,nested,9,12,100430
on,numeric,9,24,58260
off,numeric,9,24,87722
