mode,case,round,loops,microseconds
off,block_map,15,3,1455125
on,browser,15,1,238872
off,browser,15,1,198026
off,constant,16,24,49846
on,constant,16,24,39327
off,nested,16,12,83872
on,nested,16,12,63463
off,numeric,16,24,48676
on,numeric,16,24,41519
off,getter,16,8,63605
on,getter,16,8,68915
off,class_map,16,3,310270
on,class_map,16,3,305410
off,block_map,16,3,1324907
on,block_map,16,3,1368962
off,browser,16,1,209658
on,browser,16,1,227744
on,constant,17,24,49094
off,constant,17,24,60956
on,nested,17,12,118585
off,nested,17,12,91444
on,numeric,17,24,45433
off,numeric,17,24,61414
on,getter,17,8,82353
off,getter,17,8,75235
on,class_map,17,3,341288
off,class_map,17,3,347877
on,block_map,17,3,1464003
off,block_map,17,3,1306828
on,browser,17,1,221473
off,browser,17,1,192065
off,constant,18,24,61692
on,constant,18,24,58302
off,nested,18,12,124722
on,nested,18,12,89575
off,numeric,18,24,73019
on,numeric,18,24,72184
off,getter,18,8,101688
on,getter,18,8,95505
off,class_map,18,3,465109
on,class_map,18,3,534411
off,block_map,18,3,2352068
on,block_map,18,3,1631270
off,browser,18,1,195148
on,browser,18,1,179328
on,constant,19,24,34573
off,constant,19,24,41084
on,nested,19,12,65565
off,nested,19,12,65517
on,numeric,19,24,44101
off,numeric,19,24,51918
on,getter,19,8,73739
off,getter,19,8,70982
on,class_map,19,3,330056
off,class_map,19,3,424059
on,block_map,19,3,1297269
off,block_map,19,3,989975
on,browser,19,1,216599
off,browser,19,1,235017
off,constant,20,24,49369
on,constant,20,24,44338
off,nested,20,12,83577
on,nested,20,12,75880
off,numeric,20,24,49103
on,numeric,20,24,45736
off,getter,20,8,72699
on,getter,20,8,78820
off,class_map,20,3,362140
on,class_map,20,3,338344
off,block_map,20,3,1259650
on,block_map,20,3,1332041
off,browser,20,1,205586
on,browser,20,1,224130
on,constant,21,24,44351
off,constant,21,24,52487
on,nested,21,12,77879
off,nested,21,12,77455
on,numeric,21,24,48766
off,numeric,21,24,55393
on,getter,21,8,104103
off,getter,21,8,78958
on,class_map,21,3,328046
off,class_map,21,3,348090
on,block_map,21,3,1353809
off,block_map,21,3,1244583
on,browser,21,1,223266
off,browser,21,1,188022
off,constant,22,24,51736
on,constant,22,24,64384
off,nested,22,12,93999
on,nested,22,12,85593
off,numeric,22,24,46796
on,numeric,22,24,49008
off,getter,22,8,76038
on,getter,22,8,68085
off,class_map,22,3,336654
on,class_map,22,3,369215
off,block_map,22,3,1195882
on,block_map,22,3,1386529
off,browser,22,1,238248
on,browser,22,1,305242
on,constant,23,24,47976
off,constant,23,24,59864
on,nested,23,12,77544
off,nested,23,12,96987
on,numeric,23,24,70865
off,numeric,23,24,70743
on,getter,23,8,93922
off,getter,23,8,78403
on,class_map,23,3,398410
off,class_map,23,3,414299
on,block_map,23,3,1547950
off,block_map,23,3,1212551
on,browser,23,1,174874
off,browser,23,1,190989
